Node,Radius
0,4.5
1,2
2,3.5
3,3.5
4,4
5,2.5
6,5
7,4.5
8,5
9,2
10,4
11,2
12,4
13,2
14,5
15,2.5
16,4.5
17,3.5
18,6
19,3.5
20,5
21,3.5
22,2.5
23,2
24,4
25,3.5
26,3.5
27,2
28,4
29,4.5
30,4.5
31,2.5
32,4
33,2
34,5
35,4
36,3.5
37,2.5
38,5.5
39,5.5
40,3
41,2.6
42,3
43,3
44,2
45,6.5
46,5
47,4
48,4
49,3
50,2.5
51,2
52,5
53,4.5
54,4.5
55,4
56,4
57,3.5
58,4.5
59,3.5
60,4
61,5.5
62,3.5
63,2
64,3.5
65,1.5
66,4.5
67,4
68,3
69,4
70,4
71,2.5
72,4.5
73,2
74,4.5
75,3.5
76,4
77,2
78,4.5
79,4
80,4.5
81,5
82,4.5
83,4
84,4
85,4
86,3.5
87,4
88,4.5
89,5.2
90,7.5
91,2.2
92,3
93,4
94,4
95,2.1
96,5
97,5
98,5
99,5
100,3
101,3.5
102,4
103,2
104,2.6
105,5
106,2.5
107,3
108,4.5
109,2
110,2
111,4.3
112,4
113,4.5
114,6
115,6
116,3.7
117,2
118,4.5
119,3
120,4
121,4.5
122,5
123,5
124,4
125,4
126,5
127,4
128,5
129,2
130,4.5
131,4.5
132,4.5
133,5.2
134,4
135,3
136,4.5
137,5
138,2.5
139,4
140,3
141,4
142,4
143,2.5
144,2.5
145,4
146,4.5
147,6
148,2.5
149,5.5
150,5
151,2.5
152,3.5
153,3
154,3
155,6
156,4
157,5
158,3
